File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
BJ_26_34,"(26, 34)",2400,0.3205,0.0022,0.0001,0.6771,0.0001
BJ_28_19,"(28, 19)",2567,0.7578,0.2422
BJ_35_48,"(35, 48)",3233,0.3447,0.0111,0.0783,0.5639,0.002
BJ_14_86,"(14, 86)",1360,0.3296,0.0003,0.0738,0.386,0.2046,0.0057
BJ_21_15,"(21, 15)",1926,0.1584,0.0024,0.8388,0.0004
BJ_35_60,"(35, 60)",3245,0.2258,0.1164,0.2576,0.3951,0.0051
BJ_32_69,"(32, 69)",2981,0.3178,0.0178,0.115,0.5494
BJ_28_31,"(28, 31)",2579,0.3378,0.0112,0.0561,0.5822,0.0023,0.0104
BJ_41_87,"(41, 87)",3818,0.017,0.0136,0.3282,0.6392,0.002
BJ_28_25,"(28, 25)",2573,0.8834,0.0015,0.0034,0.0581,0.0536
BJ_35_74,"(35, 74)",3259,0.2828,0.0207,0.3708,0.3006,0.0245,0.0006
BJ_46_71,"(46, 71)",4257,0.0976,0.0376,0.1445,0.7185,0.0018
BJ_14_51,"(14, 51)",1325,0.1961,0.0012,0.8024,0.0003
BJ_3_25,"(3, 25)",298,0.1381,0.4755,0.1825,0.0177,0.0258,0.1604
BJ_13_58,"(13, 58)",1241,0.2063,0.005,0.0262,0.76,0.0025
BJ_41_78,"(41, 78)",3809,0.193,0.0001,0.03,0.0939,0.6418,0.0412
BJ_45_2,"(45, 2)",4097,0.8215,0.1785
BJ_4_38,"(4, 38)",402,0.0437,0.0003,0.0514,0.455,0.4475,0.0021
BJ_32_82,"(32, 82)",2994,0.187,0.0158,0.6415,0.1557
BJ_13_8,"(13, 8)",1191,0.3014,0.0564,0.1477,0.4742,0.0203
BJ_14_45,"(14, 45)",1319,0.39,0.0001,0.0001,0.5958,0.0004,0.0136
BJ_3_31,"(3, 31)",304,0.2235,0.0159,0.1691,0.5772,0.0075,0.0068
BJ_46_65,"(46, 65)",4251,0.3007,0.01,0.1734,0.5083,0.0076
BJ_26_1,"(26, 1)",2367,0.4862,0.0855,0.0571,0.352,0.0015,0.0177
BJ_3_19,"(3, 19)",292,0.3122,0.0781,0.3933,0.2063,0.0101
BJ_41_44,"(41, 44)",3775,0.3472,0.004,0.2177,0.4311
BJ_4_10,"(4, 10)",374,0.4426,0.1106,0.2644,0.18,0.0024
BJ_13_64,"(13, 64)",1247,0.2103,0.0002,0.0895,0.0977,0.5799,0.0224
BJ_13_70,"(13, 70)",1253,0.3046,0.1066,0.1903,0.3971,0.0011,0.0003
BJ_41_50,"(41, 50)",3781,0.2956,0.0705,0.4929,0.1376,0.0034
BJ_46_59,"(46, 59)",4245,0.1037,0.0604,0.2869,0.5331,0.0153,0.0006
BJ_14_79,"(14, 79)",1353,0.1739,0.0039,0.0128,0.8085,0.0009
BJ_24_25,"(24, 25)",2209,0.3759,0.0114,0.1331,0.4773,0.0008,0.0015
BJ_30_50,"(30, 50)",2780,0.4725,0.0067,0.0344,0.4852,0.0009,0.0003
BJ_37_59,"(37, 59)",3426,0.4297,0.197,0.3,0.0425,0.0038,0.027
BJ_39_74,"(39, 74)",3623,0.1045,0.0158,0.3529,0.5088,0.018
BJ_8_7,"(8, 7)",735,0.3534,0.0238,0.1931,0.4262,0.0035
BJ_23_38,"(23, 38)",2131,0.1965,0.8033,0.0002
BJ_39_60,"(39, 60)",3609,0.1445,0.0001,0.1217,0.3323,0.3846,0.0167,0.0001
BJ_16_83,"(16, 83)",1539,0.5043,0.051,0.0757,0.1172,0.0021,0.244,0.0057
BJ_30_44,"(30, 44)",2774,0.1521,0.0009,0.0012,0.8444,0.0014
BJ_24_31,"(24, 31)",2215,0.4774,0.0002,0.4831,0.0006,0.0387
BJ_24_19,"(24, 19)",2203,0.6327,0.3673
BJ_43_82,"(43, 82)",3995,0.3532,0.0173,0.1534,0.0095,0.0009,0.4004,0.0653
BJ_23_10,"(23, 10)",2103,0.3005,0.0089,0.1069,0.5772,0.0044,0.0021
BJ_18_86,"(18, 86)",1724,0.3201,0.1078,0.1732,0.181,0.1616,0.0563
BJ_37_65,"(37, 65)",3432,0.0412,0.0413,0.204,0.6604,0.0531
BJ_39_48,"(39, 48)",3597,0.0477,0.0558,0.0809,0.81,0.0056
BJ_37_71,"(37, 71)",3438,0.4001,0.0242,0.3057,0.2697,0.0003
BJ_30_78,"(30, 78)",2808,0.2105,0.0909,0.3631,0.3271,0.0084
BJ_6_29,"(6, 29)",575,0.3066,0.3376,0.0402,0.3024,0.0034,0.0098
BJ_6_8,"(6, 8)",554,0.2923,0.0385,0.2627,0.342,0.0645
BJ_44_74,"(44, 74)",4078,0.1404,0.0039,0.0038,0.8511,0.0003,0.0005
BJ_16_54,"(16, 54)",1510,0.1098,0.0005,0.0013,0.8882,0.0002
BJ_1_20,"(1, 20)",111,0.234,0.0037,0.0283,0.7335,0.0005
BJ_18_79,"(18, 79)",1717,0.2548,0.0002,0.042,0.048,0.5608,0.0531,0.0411
BJ_20_7,"(20, 7)",1827,0.9548,0.0232,0.0124,0.0096
BJ_16_40,"(16, 40)",1496,0.2623,0.0015,0.7362
BJ_1_34,"(1, 34)",125,0.4116,0.0004,0.0066,0.5814
BJ_44_60,"(44, 60)",4064,0.1457,0.0123,0.1083,0.7215,0.0121,0.0001
BJ_43_69,"(43, 69)",3982,0.0927,0.0288,0.2155,0.6197,0.0432,0.0001
BJ_30_87,"(30, 87)",2817,0.1645,0.0364,0.5431,0.256
BJ_43_4,"(43, 4)",3917,0.979,0.021
BJ_8_10,"(8, 10)",738,0.522,0.014,0.1345,0.3286,0.0009
BJ_11_49,"(11, 49)",1050,0.09,0.0096,0.1248,0.7731,0.0025
BJ_43_41,"(43, 41)",3954,0.1956,0.0049,0.115,0.3193,0.3647,0.0005
BJ_6_15,"(6, 15)",561,0.1143,0.8857
BJ_11_61,"(11, 61)",1062,0.1831,0.0357,0.1147,0.6588,0.006,0.0017
BJ_8_38,"(8, 38)",766,0.3898,0.0208,0.1826,0.3704,0.0364
BJ_16_68,"(16, 68)",1524,0.2234,0.0001,0.0126,0.0179,0.746
BJ_18_45,"(18, 45)",1683,0.184,0.816
BJ_44_48,"(44, 48)",4052,0.2976,0.023,0.4841,0.1949,0.0004
BJ_18_51,"(18, 51)",1689,0.2241,0.0005,0.0005,0.7601,0.0019,0.0129
BJ_11_75,"(11, 75)",1076,0.0599,0.0002,0.4479,0.3399,0.1337,0.0184
BJ_43_55,"(43, 55)",3968,0.3001,0.0001,0.1759,0.2328,0.2638,0.0273
BJ_5_87,"(5, 87)",542,0.1616,0.0184,0.5518,0.2667,0.0015
BJ_29_65,"(29, 65)",2704,0.0816,0.0746,0.2091,0.6043,0.0304
BJ_27_48,"(27, 48)",2505,0.4831,0.0063,0.5103,0.0003
BJ_20_41,"(20, 41)",1861,0.1877,0.7954,0.0001,0.0168
BJ_34_34,"(34, 34)",3128,0.2699,0.0021,0.0137,0.7137,0.0006
BJ_34_20,"(34, 20)",3114,0.3344,0.0324,0.0544,0.5563,0.0015,0.021
BJ_20_55,"(20, 55)",1875,0.251,0.001,0.7469,0.0011
BJ_29_71,"(29, 71)",2710,0.0968,0.019,0.6394,0.2447,0.0001
BJ_33_29,"(33, 29)",3032,0.2407,0.0198,0.0202,0.7188,0.0005
BJ_19_3,"(19, 3)",1732,0.8823,0.0347,0.0151,0.0678,0.0001
BJ_29_59,"(29, 59)",2698,0.1163,0.1903,0.4128,0.1997,0.0285,0.0524
BJ_27_74,"(27, 74)",2531,0.0658,0.1687,0.3908,0.3692,0.0055
BJ_20_69,"(20, 69)",1889,0.1655,0.0863,0.0913,0.5898,0.0671
BJ_33_15,"(33, 15)",3018,0.7893,0.0017,0.0414,0.1676
BJ_27_60,"(27, 60)",2517,0.1771,0.086,0.129,0.5364,0.0715
BJ_22_5,"(22, 5)",2007,0.3404,0.0029,0.0569,0.5971,0.0017,0.001
BJ_40_10,"(40, 10)",3650,0.1953,0.0188,0.2277,0.5516,0.0037,0.0029
BJ_12_30,"(12, 30)",1122,0.0568,0.9415,0.0017
BJ_5_44,"(5, 44)",499,0.1765,0.0045,0.0215,0.7969,0.0006
BJ_15_39,"(15, 39)",1404,0.1791,0.004,0.8169
BJ_20_82,"(20, 82)",1902,0.3063,0.0496,0.289,0.268,0.0045,0.0826
BJ_41_6,"(41, 6)",3737,0.5804,0.0317,0.111,0.2767,0.0002
BJ_2_59,"(2, 59)",241,0.1579,0.0167,0.0291,0.7912,0.0051
BJ_12_24,"(12, 24)",1116,0.1487,0.0036,0.0632,0.7817,0.0028
BJ_5_50,"(5, 50)",505,0.1085,0.015,0.1445,0.6703,0.0617
BJ_5_78,"(5, 78)",533,0.1686,0.001,0.0517,0.4551,0.3017,0.0217,0.0002
BJ_2_71,"(2, 71)",253,0.2588,0.0001,0.028,0.3523,0.3526,0.0082
BJ_2_65,"(2, 65)",247,0.2924,0.0001,0.1061,0.0656,0.3285,0.0881,0.1187,0.0005
BJ_15_11,"(15, 11)",1376,0.9362,0.0082,0.0128,0.0427,0.0001
BJ_40_38,"(40, 38)",3678,0.1434,0.0088,0.0484,0.7936,0.0058
BJ_12_18,"(12, 18)",1110,0.1195,0.0008,0.0172,0.8621,0.0004
BJ_2_73,"(2, 73)",255,0.3958,0.0733,0.3711,0.1591,0.0007
BJ_15_13,"(15, 13)",1378,0.6243,0.0198,0.207,0.1488,0.0001
BJ_2_67,"(2, 67)",249,0.302,0.0001,0.0331,0.4816,0.0818,0.0104,0.091
BJ_20_80,"(20, 80)",1900,0.4549,0.0076,0.0252,0.4248,0.0066,0.0809
BJ_5_46,"(5, 46)",501,0.4613,0.0012,0.0178,0.5197
BJ_4_8,"(4, 8)",372,0.4128,0.048,0.2778,0.261,0.0001,0.0003
BJ_12_32,"(12, 32)",1124,0.1238,0.0189,0.0576,0.7466,0.0531
BJ_40_12,"(40, 12)",3652,0.5248,0.0266,0.1564,0.2917,0.0005
BJ_22_7,"(22, 7)",2009,0.0691,0.0024,0.9285
BJ_27_89,"(27, 89)",2546,0.113,0.0006,0.0589,0.1897,0.6232,0.0146
BJ_5_52,"(5, 52)",507,0.5345,0.0047,0.0471,0.3627,0.051
BJ_12_26,"(12, 26)",1118,0.0301,0.0008,0.9691
BJ_41_4,"(41, 4)",3735,0.8275,0.1725
BJ_27_76,"(27, 76)",2533,0.592,0.0137,0.3619,0.0311,0.0013
BJ_27_62,"(27, 62)",2519,0.0184,0.0002,0.0071,0.1597,0.7992,0.0154
